,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,totalGames,winRate,masteryRatio,mostPlayedID
34,IRON,I,a6JO_ohGJGOAYjs-CoDMHxsf3AtYF6pSgnwcBmKNI5v5ib3O,Kleptophilia ,29,5,7,12,41.66666666666667,1.2382561573355253,427.0
35,IRON,I,1kfQbmgKa99dQZ0p466f9xYMownbV-8SHTy9J1e-H4uVequ4,SeniorFluffs,25,8,19,27,29.629629629629626,2.5591733815710134,19.0
36,IRON,I,bU8Ss6oL2hYncHCUmuti5mD5ksbfjEkw08f439tlza1Vu2W0,Renthak,66,14,17,31,45.16129032258064,1.3028522247070526,163.0
37,IRON,I,0LIs4SZpK3sbgYaN8-Wixff-GJjCxH_CU6Km47j8Nus5Z90E,Icedragon2757,100,7,15,22,31.818181818181817,5.640502845706423,498.0
38,IRON,I,RmsxsOkgWBUu6Wz8H4a0RQhqgZqC8ToqcjNeGKs31k5lqzOH,Argentojones,70,9,2,11,81.81818181818183,1.0466449817242882,350.0
39,IRON,I,CLq0xIMxK7f5CE8XYmNrz4zdzsPKrjpjSLNMvWoIBRURb2Em,Buckner,57,1,9,10,10.0,1.3583441138421732,86.0
40,IRON,I,__IBuKL--cyY2FkZHP6nJ4Qo31UfPw919NnsyP4Oq7LQiwEN,WhoaSafari,0,2,15,17,11.76470588235294,1.195138888888889,81.0
41,IRON,I,p_rt-JknZfBHswtU8rv-UUsycfZjeHwRp4-PSGiQJi1Ods5U,The Trump Train,0,12,21,33,36.36363636363637,4.117769287485756,29.0
42,IRON,I,YW8WROSjJsOf0X56UPtqfY4srmOey891DdMGp3fxhSfWCk4n,ILostMyMind,53,1,10,11,9.090909090909092,1.2149679857247822,235.0
43,IRON,I,5K7rHXBS7tPLz4tg85NL02J77HBxmz30l5qOXK2wPd15WBFq,sp1cypig,93,8,8,16,50.0,1.227035074349113,89.0
44,IRON,I,3lNIel-4NMYHagdw-nPLnZ5K45WPMdUZyDazHMoUDCyo5-Oe,Farao66,35,5,16,21,23.809523809523807,1.1533480612478098,14.0
45,IRON,I,pRwdcLB1MnKvvWwKSqUnqymrrcpwIdu58A9QlKjD3QMYJmz2,Lyndon Zhang,39,10,12,22,45.45454545454545,1.8093096143242695,81.0
46,IRON,I,A_ob2FBmf8_QTp7TzqLMn50iQa2wlWUUcoK8wc8yA13UQX3q,Chutelama,6,10,6,16,62.5,3.0693637748355456,121.0
47,IRON,I,1C0VR6f9TiLO2sbirJXYpLWRzvlukaTjZLNTYC2yQ9418mwI,Saldarov03,9,11,25,36,30.555555555555557,2.166206631494357,99.0
48,IRON,I,f8X4UBJP1dRVQ4-vNw54itrBFAozu0smAAPCN288okIPH7Iw,Wausy,32,5,7,12,41.66666666666667,2.327459179609717,17.0
49,IRON,I,cGgjuzuq2Xp12t-LqrScKdrTlV7a7nkoD0PZrMDZfDWF9Qtc,Counselor Sex,82,65,54,119,54.621848739495796,1.1886352842075079,99.0
50,IRON,I,lErWb99HfXJ6el4xugAMBFSDxGPB3TL60CAAATJmlNtroRnJ,DesignFire,43,7,17,24,29.166666666666668,1.0156180541149276,29.0
51,IRON,I,lqMrkjIBH0VJ4g-LhkPGrAKzo0CZFL-mwhwH7wgKT-T7Ikae,Dustyn1bba,100,22,25,47,46.808510638297875,2.0313145955813265,412.0
52,IRON,I,LegcTjdOdkG5DVG7je2OWmUu_5WyRaRAZYkTud2aGCOcKKW1,WangMunchr72,65,10,24,34,29.411764705882355,1.124258862116816,22.0
53,IRON,I,x51ThGZJpPEloyyvY9Vpa79G0YQevxSzW2KNwhdDoFHSI033,Reaper117xxx,48,38,61,99,38.38383838383838,1.0594429074108893,80.0
54,IRON,I,zcjJszq-zGn2pMSsfkJdZMYytREtq6LCj9e1ozELiVbPCxK9,PrincessNia93,9,8,10,18,44.44444444444444,1.7614218345925663,103.0
55,IRON,I,9gWXugFEWpcQFKyJ5U-OQKj51Ec2ui_vqjLkWHiNVSugkkHZ,ChromeGnome,100,27,40,67,40.298507462686565,1.2644215100488865,81.0
56,IRON,I,7du3AqczSZcXB420frxEjUfipfXEig3-H9k9x-BftQR6mZQn,LiliPotter,64,3,7,10,30.0,1.9449250896813675,161.0
57,IRON,I,HoXYf9v2hI_edcnewMhx4TBmA0e-ddHpnd6jUC99xXvUXUpX,PentaMagemid,21,5,8,13,38.46153846153847,1.1065607531626949,99.0
58,IRON,I,9iGgEZD4GiRbdMBSBiCLLPDnHwu6TI1AxxI0U4cWkgtIHbDS,OurHouse,20,8,15,23,34.78260869565217,1.5454916752756889,119.0
59,IRON,I,Fy88ljxRwDeK7_Bu1bNcCKoBop8WZE-ktHYQf1k7aB_nd6dt,Frosst10,59,5,13,18,27.77777777777778,17.012018234562785,18.0
60,IRON,I,EcDO7thrVjJqU4ksRluH1ZqvvNXbsbtQ9Pi0CZJBraTAxwiF,AyAyRon1738,10,9,10,19,47.368421052631575,1.4036427294398093,99.0
61,IRON,I,zDw9wqnZPJmRuuXLhq5gw3eTiaJXDKhTSrIpiGBdeTd4WgDz,KowaretaKami,52,3,8,11,27.27272727272727,1.616303734930054,53.0
62,IRON,I,nZgCAXedzuWSQ2DbG7eoNc52Rze8z8ZSc6gSg5Xt0a_Rlzao,Cam101,51,4,12,16,25.0,3.9020621046023085,99.0
63,IRON,I,xXBcVF9UBEEnB1ozhKuwqFCRKdzKx-A0aQbJbN2sUxhJLL23,Rade1230,57,8,22,30,26.666666666666668,2.9008736268488886,555.0
64,IRON,I,JT3pEjy5GN8ddMCSJL6DR2vnFXfH6eR_As8JSLOh48mWbvkD,kolkwitziat,84,8,9,17,47.05882352941176,2.359535819145847,143.0
65,IRON,I,REAGTrNjXsGAg5pBFrOranVoVcWYOOF8ygGNLI_086vX6CPQ,XZephyrXx,63,3,7,10,30.0,12.911448853294504,28.0
66,IRON,I,v-0LJ8sXH7WhmMlGilwBbuulshz7kSjaTsywN_71DPzB110N,Sahrowss,100,12,14,26,46.15384615384615,1.0912074865563237,36.0
67,IRON,I,K3rMSbpHOBIolNDUnfH1GDM63CoIKFYGumnaoJXkrqoQVCLs,YRF Bigeasy,0,5,7,12,41.66666666666667,1.0411642411642412,3.0
68,IRON,I,B8vu70WwvEkU-OILdima6-cNJn8F3WtKO90vvwBIwojA4uh-,Tommyplayz9909,0,6,22,28,21.428571428571427,1.1891308814464763,11.0
69,IRON,I,zs5u55QXXZvGYO0la-0ngBZH2jFT6HQxpKcrxP_D7KoIzJJw,MrPokmon,0,23,28,51,45.09803921568628,1.84392445059105,115.0
70,IRON,I,-4x-4xw14KSSFPvNsYovT38nzYi7n4Z4aNGkwaWzexddnwa9,BugBoyLoveChild,11,7,3,10,70.0,1.7307761606374246,141.0
71,IRON,I,91TtehEScYN3TNOj3qB2rRu5Rt6qMCR9ycT-y_aZrl5OCejX,ZorutoUzamaki,51,6,5,11,54.54545454545454,2.8074315446470806,17.0
72,IRON,I,oSt9ahoYHuVYA_3Nt7ycFD-v-aXjXsz7CGcPP1q3-byK8VnB,LiftedJester,48,17,25,42,40.476190476190474,1.0797814207650274,20.0
73,IRON,I,2LdN5HA4z9l2kLdUv6Mwk9s6wztOFtJNRDkXb-ms3dOxat6V,YourDADDYLin,100,12,26,38,31.57894736842105,1.8112407739876322,51.0
74,IRON,I,x2dmUA5tTfaZQHCzvUqyC6N-OphL1KpBGZXmMQfBJ7-77Tuo,Cynthiiax3,8,5,8,13,38.46153846153847,1.0745582151495525,25.0
75,IRON,I,5l-6wkmf2t11jHQVeAg7JbSqcpth7UIrx5dwKB85tssRsSad,MCDOINK558,100,26,36,62,41.935483870967744,2.7569993672888327,111.0
