,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,totalGames,winRate,masteryRatio,mostPlayedID
575,IRON,III,jxPZZaL3NRkWIMIPRUcT5PkwlUVbzeDnR_PRa5IVMIbswql7,Shiiwi,79,6,14,20,30.0,1.070219989898423,498.0
576,IRON,III,jgieirDtxv_RrI6Qv6pq37eyyd0mTUKG7rwPE_F5yLDEu9B1,tbnrPup,28,10,20,30,33.33333333333333,1.808447553628143,99.0
577,IRON,III,I4MRS7VynUGMLSlBucsKC5zH30hzWu8DiuAKD72bfO7L0EMi,Uganda1511,51,15,17,32,46.875,1.1839010748340577,17.0
578,IRON,III,UK82HLMFWrkcPeEcLcNTmSdew4AvwMaKRQ4j5d1ZEJTRa7TN,Ive been found,68,7,14,21,33.33333333333333,1.188943408570494,91.0
579,IRON,III,nvHgHnbCGXXRCjJ6EtkSX-oyfT6LBTq7nluzADrfiHgxX4dJ,WhiskyWhisk,10,2,9,11,18.181818181818183,1.6227956237198382,518.0
580,IRON,III,FTptX7_uj22u2Qs93E05SlVlidtB3tjZYYIss3vxzp1Tbz3l,allamore,32,6,16,22,27.27272727272727,1.007101078883724,22.0
581,IRON,III,cijVGJftrAc0PGwh-n8Fn71jI4UoQzQkVRx475yhoCFlGX_Z,pudding is puddy,100,12,17,29,41.37931034482759,1.357490272373541,84.0
582,IRON,III,MeMrCxHtJR58JCQW5yNuTw5KErnrz4VNU6k2uYSzF6iuHJTK,MythAB,0,20,34,54,37.03703703703704,3.7858613589567605,222.0
583,IRON,III,CvQcgMjGLj8xNVz70aYVkz0CG6uQ3lXwv91aZ5rFW_4Czksm,Johndon33,0,23,35,58,39.6551724137931,3.3005138405436765,163.0
584,IRON,III,h0PgA1iAEKeJ-heTqdygPJ88PANyO_Sgp7mV2AqEMg86QTWa,chobosalsaljom,16,12,30,42,28.57142857142857,1.4744797077650056,103.0
585,IRON,III,rVCP9WCPovOjhwIBk56q4n6Jrye7Oj7LCnR7vloZPzKy,yukidrew,97,4,7,11,36.36363636363637,1.004656884280819,48.0
586,IRON,III,HzW5uxLQTi9DDKgHXjq9WadEw3H8DMf5Hxg9fIVvuaiYKSXR,Thatcoolboy27,22,5,7,12,41.66666666666667,3.3217286189181023,157.0
587,IRON,III,mOa9yNTBmvOe_jaurr-lQzk2-87zrwxyGmVzSx-luFnQWpUp,Wattage1,32,3,10,13,23.076923076923077,1.2489649742196032,11.0
588,IRON,III,WglxB2bMcVMyvsGj5PRs1DBxnh3S1gCrOU1y-H74Qsof6REx,GamerFOX98,100,72,76,148,48.64864864864865,7.196627454488527,80.0
589,IRON,III,QdF0f7u3em-OdvlDLfdaweEQExKeL3aIVmP9YZAFP5Va6erk,axlele,53,7,6,13,53.84615384615385,1.0180592649116114,222.0
590,IRON,III,kT9uapnFDA-O4nxlaODier3lRwpafoFElIppYaMGLT3hfeio,LiL Nikki,71,6,8,14,42.857142857142854,5.312479575905014,157.0
591,IRON,III,oEbp1L-vytIzb2sFtQiUPh17fzvHTA_NJsPLh4WS_WoT2edJ,fxbuchino,48,8,23,31,25.806451612903224,2.870602059860372,145.0
592,IRON,III,sqsFYok5fnAUo7R4i8cgWwSrE7PCSnju_Sin94I5CGl4lcvN,3lr4peo,9,36,49,85,42.35294117647059,2.582915334209914,110.0
593,IRON,III,nm1ypSZEaO3GiRnFlE0Qq0OjeEKWzgMI5jECD0xyuWIlURcB,BioFox27,18,10,13,23,43.47826086956522,1.4110667223182876,32.0
594,IRON,III,4RiIFmd8M4SAvXfLzlgvFG13EcMlnUbSeaSgincT9f-csXeZ,scriptyrripty,48,47,70,117,40.17094017094017,1.8362195479894334,56.0
595,IRON,III,o5go1qXkhoTaynyTZFvEKV7Sx5RPiagacQf6R9Fkph4RbUcY,salisama,79,7,16,23,30.434782608695656,1.378535451375436,106.0
596,IRON,III,-CGhKEJXyNFQCoGTj7LYBzrulei4oU-P-mcEAsKmPsTZl6NB,Mens Buiger,0,6,12,18,33.33333333333333,1.5987456657256,19.0
597,IRON,III,pmhMG-DQ5dg_rD1qeUnliZCljMbpMZFdax43KtDey3eI8Mkl,hunteerr231,36,4,11,15,26.666666666666668,1.4450978195937874,518.0
598,IRON,III,-o7YrruVJ21H6lMIApydzj009_15EmRO7C4R6-gcWvnSkb0n,lolKipps1,72,5,14,19,26.31578947368421,1.7582923428992292,350.0
599,IRON,III,YR2SkKBPqKCXdvtqkGQfOUjezyscx8FBUG0i09_8zA3_utdr,IOSPOTATO,87,11,14,25,44.0,1.4900977618420683,75.0
600,IRON,III,TMb9-ZYLqmgj8I2yHbWKJ745Aja7xHEs0TdP1rPTVHXpvrzx,AlphaSpectre01,91,4,8,12,33.33333333333333,1.1650288952350971,555.0
601,IRON,III,nnW-66FydbpRE2Et96Vx6bqKDn43IVfY4UHqmmFEDV0stQ7s,mattyice091,54,22,26,48,45.83333333333333,1.5990440324449595,22.0
602,IRON,III,HmFiwxf0BjS7nVm_I47Q2-_GC88P-6wpxRQ1zZom2Mko5rVQ,ryaruba,7,5,8,13,38.46153846153847,3.6759458952599746,21.0
603,IRON,III,d8aYrz4si1iVyhDG-ol-LdfC9e4aJdOYZTEm6EXXGC3lRsN9,frycookin ya ass,51,5,5,10,50.0,1.9589804739901624,35.0
604,IRON,III,aZIXrs2mAL_hZEKCuW6jdCRRkwRHC6IDEiqTPqXrZLKzjkKC,Elaquence,40,3,7,10,30.0,1.29317738791423,555.0
605,IRON,III,dL84dIvQYDbK3xoPrMJyW6aeaBKNuhbSYhHSkjyv-TqbZMTI,legabal,18,2,8,10,20.0,2.9900287406886035,420.0
606,IRON,III,M6Os6GbMQhPRAGkpCyuubwwdNck4m3GkzQkV-SrlqarXkSTm,Tinmonkey1,24,6,8,14,42.857142857142854,2.639662273476112,39.0
607,IRON,III,odEbGsdFwZ-j_I8zafgLq7eTp5VNoePQAVnrlQsJ4Z3HqR49,quedahi3,71,46,37,83,55.42168674698795,1.5738156576499214,161.0
608,IRON,III,znPgvJd_xJR4eHx739JFJ19YlCODxbGOy7_-2dWGEUoB9gw9,ToshiroMuramasa,24,6,28,34,17.647058823529413,1.2130707251566697,18.0
609,IRON,III,dIv-S8eF6_84XcfPFVGYrU2jHGme3n_rWbDsFSH79AyZee0z,xPITxlondon,29,11,11,22,50.0,1.472002067539628,157.0
610,IRON,III,239QP-mv6n54ZBaVNCgcYK1fondynEsDbs0yQy9abt-bAPx7,Peanuts88,72,9,12,21,42.857142857142854,1.1820891447293578,39.0
611,IRON,III,tLX_S390iF9KScQcCQCP-DKneltUk3Mig9iFbaYqHP2t-7Pi,LiberalDeletus,89,10,14,24,41.66666666666667,1.0622325581395349,51.0
612,IRON,III,LgQ8N3tCOYSyueKgdnTNl__2LlilwkCsNFoIlVvf3FchsKDl,XxKENShir0,49,12,13,25,48.0,1.926895030332741,11.0
613,IRON,III,wf7cRoLfv5qixSPAHG3hX9GAeooly6Wd9oS0nO_lKC7CvvRk,edgemochi,0,5,22,27,18.51851851851852,1.2505552424835085,141.0
614,IRON,III,ZcqQ5z8KTR_W27XIyNG9aLmdpcI0wj0qyHb3n5vZmAUmLxmL,killwhenlick,70,8,24,32,25.0,1.0863238733146634,55.0
615,IRON,IV,lFSxp16JsO2eoqjMX07fwD3JrLY-Y757jpwlhUn0wU2MUWLo,ZGoz1,60,6,13,19,31.57894736842105,1.2272598469821479,25.0
616,IRON,IV,1hLy50vfvp2Q3RQWTcVqJf31rYTlXB0lG5OUDSOK1ILAfeSC,xXR1C0SUAVEXx,59,21,28,49,42.857142857142854,3.6396421807631865,11.0
617,IRON,IV,mgowV1Ej_K1TeimyDSDiTXOrCT5e2zaJoJgcGXFfJehx8W7V,ShiftyKitty,71,18,20,38,47.368421052631575,2.4804620954003407,157.0
618,IRON,IV,DbWCqgNjj9ixobSjpVDZmTQ8CbF6ZysGyA8QkeNBCvmsTwfo, KaBBa SL,54,8,17,25,32.0,1.0261098901098902,11.0
619,IRON,IV,arOb89U2Y_C6lMpAPwDDjyLSWgcG0zKdclBmGbVxNbLfCijT,we already lost,0,4,50,54,7.4074074074074066,2.070353403141361,34.0
620,IRON,IV,x-sQV4YBYb8tho0DydEoDNLvdRNySR4A_GOIKukGUUFbr89X,Azurasfire,20,40,54,94,42.5531914893617,1.296521381000693,25.0
621,IRON,IV,c8DtJklfXWEp8acXHhwPq-TyIO0YjRs_L8D46J1Qj5cXcjBf,MrKiller,66,19,30,49,38.775510204081634,1.0692552550830203,238.0
622,IRON,IV,feu74yfI8aUhD2yPOvWLaRaLTGJnECBtqcFh0YCfJnzO5U_1,Surrogate,21,5,16,21,23.809523809523807,1.7355810865423473,432.0
623,IRON,IV,hkX86-m1vg3XAqk3VOpiVHJvUkoCjyA74MypwySWkS2hIqOQ,Spex33,75,7,13,20,35.0,1.7671701290444524,150.0
624,IRON,IV,Yqkmn-cS5BHgFCq5cinEC_ISpMRJ9qGZQ5xXLR_64yuSH-ia,Kenchuuuu,100,5,15,20,25.0,1.0933139646010934,222.0
625,IRON,IV,kw3kcTW5aBY7xuSWcusynMQil0sX-doCWd1hXzMCQBTDlS5M,Frozenthumb,0,10,21,31,32.25806451612903,1.5394223199055241,22.0
626,IRON,IV,xQ9RQQEEOY1cDZNuIX6_sVxR3GJSV7O29HIvm5FDtAnC40xO,DukeMondo,30,12,21,33,36.36363636363637,5.389702105803801,25.0
627,IRON,IV,LG7etOq2IOv4g3nW0k6OuxuhwOet--CGlkBFbqr1ol2ropXW,Millkill95,92,19,14,33,57.57575757575758,1.5840327751100707,17.0
628,IRON,IV,SkU2wXS5cKQg_OKwFiaGkL_ZqoLNYZg2MW485sZ5DLBD7alq,CrummS,27,6,19,25,24.0,3.3950774754346185,84.0
629,IRON,IV,X1QLOVQPKbxvlYwkHoLWbHGgz4oilujoiyWvfesgtWY7NN45,JSHAN37,20,16,31,47,34.04255319148936,2.726813989907778,63.0
630,IRON,IV,afGj0O3Io0mTpVSa5B9ulO9I45ymbYSB06KEvebQIJWj2n3Q,iReBelliioNz,7,33,55,88,37.5,2.8031176929072488,19.0
631,IRON,IV,Wb5sUwZlWT7gbC0Mt1AGy__m1JNFcXol4ZnbKnY5WJ3x2AFd,ParadoxDish,75,9,30,39,23.076923076923077,2.289719626168224,74.0
632,IRON,IV,TpfNZj4hjB-6nmwUrasksrCjaRGEG035ftC4XZIqeiJbalD2,Divetisyou,41,41,42,83,49.39759036144578,1.3644359768198777,5.0
633,IRON,IV,_tayRjqkhYy4ndwANlZPks9S2m5UEkC3zY__l8tJWb2a8d6G,ShimesaBayo,52,1,9,10,10.0,1.3121014935802253,84.0
634,IRON,IV,La--7pjaFUyeW3weUAQajLqEo6aGGaCGUjls9RADPa61yRfI,31i0,51,12,27,39,30.76923076923077,3.628719057107156,136.0
635,IRON,IV,Zfd3BGu-xz2ze4V9TOpxhdni0aHkQwykhmoGVYQZFnud_UYn,MaxKwan2020,24,20,29,49,40.816326530612244,1.4364940239043824,14.0
636,IRON,IV,-W1nei1DbuI8jv66MomTerV_aYEzSFUSPwYOpoj4-jR2yJVi,Brawler319,0,23,54,77,29.87012987012987,1.2565340158290794,555.0
637,IRON,IV,5JnI-7I_CJTftnW1N5qu9KxrvlCsPFI-mxISjUPzMXU3sJfI,SilverDragon700x,50,22,34,56,39.285714285714285,1.6411954707120564,555.0
638,IRON,IV,vq57Mxcxz-XLz1iEuJzz0DmFYpn2wP4qKi5RYefIGDSdrqWS,SucNuts,33,35,71,106,33.0188679245283,3.3416500994035787,51.0
639,IRON,IV,Kb4nEDTiDt2e7nyDl_ASKNRt5dotDcj8K4g0PijKs4ZGAfCk,IronFiveSupport,29,8,19,27,29.629629629629626,1.1355216020086347,518.0
640,IRON,IV,5bhw3YX6TT07fsT0zJHXJ198ZtVAEPM5a0lTa9Wc_xO-wLAO,trodlog,19,15,34,49,30.612244897959183,2.020738944547253,11.0
641,IRON,IV,RScjmBh6qC23mHU-yAFkuAFyeqADbdAVECUEsbNhFfaAbutx,Foreste1er,100,4,9,13,30.76923076923077,2.7282510671556546,555.0
642,IRON,IV,0Y_iGERfakh8pt6VNnacDQrnVnl5XYAp4AdPCD48smCDA1VY,Grimzyxo,72,78,98,176,44.31818181818182,2.367827993665489,74.0
643,IRON,IV,xTxWaV2hNnnG6B06SkBfA7hY8pvPNDaAvmJrQk556_0FQiRB,SIAWA,54,6,15,21,28.57142857142857,1.0476111754008928,53.0
644,IRON,IV,3SDNqDp_3CH-NSGirYxCadwy8P0rPOqkmVJaFmlczx8LPeT0,ChimeranZombie,81,58,50,108,53.70370370370371,3.3231014839809876,555.0
645,IRON,IV,O0BpO_0Kmau3bjsap-B-BRqqTwYrEukQWdBzBEdmovkpiJqM,DTSLink,28,1,11,12,8.333333333333332,3.8513019210447883,145.0
646,IRON,IV,NLM_WJoF8FAhsRh-03Uw2oeIWtbKN_9zktJhpIHU2EwSHVnN,Mojoixth,13,138,158,296,46.62162162162162,1.0533297561557264,13.0
647,IRON,IV,zf_EYba8FBewBDdjl-Fsc0X-CA2PHMM9EEOUvaah8Dnj-26e,Iron Monkeý,48,13,28,41,31.70731707317073,1.1101469283108174,238.0
648,IRON,IV,MXHf7ZUAN3a1li6s2Nvdi-wbIH3vvJ_nlGj0fJ-FoMduNRoj,LilBoi21,72,4,12,16,25.0,1.358221476510067,202.0
649,IRON,IV,skudF3hitqPY29A-RhXnyffHJ-RXJi__m3bliXeQczFQm24-,Crazyandyisaboss,19,11,16,27,40.74074074074074,2.7678641840087623,17.0
650,IRON,IV,8GT0nQeQK82rOzXYN3qnjRocA9Pw9xfa8xstSub6_vXd83fN,zisfpak98,37,13,24,37,35.13513513513514,2.063145083683982,36.0
651,IRON,IV,pOqVXxUBnMpxvbWFGz0BgRKFxhwvYr5cp58k-vWqRDPqwk6U,I Bonnie I,88,2,9,11,18.181818181818183,1.0390019294418724,86.0
652,IRON,IV,H5mBuD3n-ZvoAIvFjHbv2B3uR5wU5mQRdXLG3mO8MUzokZ-V,WitlyLowCat,61,5,13,18,27.77777777777778,1.3822766790380803,35.0
653,IRON,IV,9u61OMnVq-zSTa3R7waw9JKA6ppYAbGAA0ZI9CicRyST9H4k,AnankasticPD,81,36,70,106,33.9622641509434,1.8969745028669025,157.0
654,IRON,IV,uCI1TOJpwcUGEBQqjAXiaSkNIFnyZLVyVqfBY2CCuvGLqSaZ,Agateliger,61,25,33,58,43.103448275862064,1.6479626884558372,11.0
655,IRON,IV,CU6KnQfsbt6u-cQFqARJV4JMeFrzPPyfXZ4yd3dn-AntOLPl,Magicmike0420,11,10,20,30,33.33333333333333,1.460545643598673,58.0
656,IRON,IV,NcWO22G4VC770saK6YxI1BSCPc1AtHRayD91u80xWIPZ0u96,CarluMagnus,16,157,185,342,45.90643274853801,8.234892352023929,21.0
657,IRON,IV,A9EitB7CpVfC87nqSfKjtzSb231NxJzKyOqLEHaMmJPo3nNf,sephiroth912,61,46,58,104,44.230769230769226,2.3932152707962775,106.0
658,IRON,IV,wOVKdjCQatgpl6P-zvw3lGjhFDDceKuFfJs7f5Iz6XqmD_g9,IOMNIGODI,0,16,31,47,34.04255319148936,1.0980295566502463,74.0
659,IRON,IV,7eBr6ScVsicKsED4hVjfUPgkFiS5vBYZ6Wmkm8LURguanIx1,SimplyKaji,31,2,10,12,16.666666666666664,1.7347824003067485,203.0
660,IRON,IV,I139a4S6E81oi3NcZjM-yaD5vKixcQ4VMsRfH3IThPSaF30n,Rock Rock,86,2,9,11,18.181818181818183,2.1462354013087053,57.0
661,IRON,IV,YNKoz9KGX80lnk56zxo-dkvHnIUWOLkaMwupv9OI4NdC6iOy,Its The Prophet1,100,36,49,85,42.35294117647059,1.165500788484089,254.0
662,IRON,IV,6sTdnJ10g_qx7aTUhO0gWmzIyVAlPYqYAkhzXtsLgzISFEW6,somthingnicehere,0,14,33,47,29.78723404255319,1.3851985006200966,40.0
663,IRON,IV,2B4C9y8KbE-hP6JRPM-SN-HzRUaH_YIQU0PDxZ6K4VMINfv7,ED BENG ,39,10,15,25,40.0,1.3415475116477378,45.0
664,IRON,IV,OWxKvt-f5w2DdBGQkAxdgHpjWFyl0jysYcMGD3P-womz940M,witherbash123,76,39,75,114,34.21052631578947,2.7497051359948532,245.0
665,IRON,IV,qcE_FM6IoBzNEqNmY2lNY2fg5lkyjwj4knBG-bnTleE9BDF6,Goingo,66,10,14,24,41.66666666666667,1.3024433296172426,67.0
666,IRON,IV,nZHFucpBpGKsjIv10yxEqgJrzGPShsnfywsTrkEnY70WfTu6,poosyslayer420,46,13,25,38,34.21052631578947,1.759144504690593,141.0
667,IRON,IV,mMl5WsgfIJn30eQ7V_6swiAqtkT7L49GL8rLIPVswJNBDLGe,SQUAREtvv,69,27,36,63,42.857142857142854,1.1364422223260595,19.0
668,IRON,IV,R3hiQ_MkUMn74qv2BEhKg6YW9z2S52Y10wrTRTzPCzZUwbY7,Jishu Roy,19,9,27,36,25.0,1.0174746692379433,99.0
669,IRON,IV,oz2238nbEg3YR6znuVC2tgdpB1Jdou-U5i2M17AtqmT8gM_I,xZlyken ,73,3,13,16,18.75,2.3345896222202374,50.0
670,IRON,IV,BvBcGoVlQ2Kd_-VewuLnwo5jp7kQ400fEMMlSQVA7-o4pwcC,Ineedielts7,61,41,55,96,42.70833333333333,1.0614111889367817,101.0
671,IRON,IV,kEW6wVqIvch4PAzNiK_L03baDySUhSHE9kkJDBafSYZDUOp5,chiguy34,75,19,46,65,29.230769230769234,1.3010159187265018,6.0
672,IRON,IV,yE4j-oAgiJoEVwVklKnXy7_jL9mQ-Gew7Shu69y97qckkLoN,Archmage86,49,53,70,123,43.08943089430895,1.0793595443582367,84.0
673,IRON,IV,QPUX3cu0kxfY2lzhwcnOMGgpYKjq37Kkxv4_NSi_XnTqDuDT,ezrewind12,47,9,14,23,39.130434782608695,1.1912333642835036,24.0
674,IRON,IV,GeVFXxrLYpvKzfG-wt3qUS5DRZr1IHIgXmkSkEokogthSiMX,FlsPovyys,45,19,39,58,32.758620689655174,1.0860421503839972,157.0
675,IRON,IV,ueepMoASHTEa0uHEAbF1zmZSDcqUN4aNsK4jhhhmhDYnRiy8,NanSmasher420,4,9,23,32,28.125,2.3735897153467294,98.0
676,IRON,IV,sEzbOvK727Ac4iYV9CUyAXtGfVHKy_HXqLZJiuq8J1b8N9BN,firebeastcraft,0,34,64,98,34.69387755102041,3.568025010780509,11.0
677,IRON,IV,-1JVkqsnBDTsO5Mk3b_oJRbBvMtTChShzguhawZtoGjW_nRD,Hades Altimius,39,1,9,10,10.0,1.6676340445352107,141.0
678,IRON,IV,zVqZUjEouoFsNCle-JoJ7hPML_bDVKOl7ITNXFz_PU3RZ8Fs,Deadpolx,77,3,10,13,23.076923076923077,1.294959812458138,11.0
679,IRON,IV,PQFGYi79sSKwy1faVvBpMt9ulmsBVekJJcVDUVb04lylhZY6,Samline21,0,10,17,27,37.03703703703704,1.631100817496325,11.0
680,IRON,IV,Yssi8-cL12IT1FkeerDpFm6KkN8PW3-m8BozWR-C28X9F0_d,RizaRoo,26,2,11,13,15.384615384615385,1.0014917951268025,267.0
681,IRON,IV,vzwBg9UVPQcsYD8FUxfm6GF7jo3QMpWgWqLAe-uNonlJeibl,ChrispyOG23,91,85,99,184,46.19565217391305,2.281528756138383,43.0
682,IRON,IV,BVL1EPTCqh9SDTfUVNz0a381hIekwDcjJlTg9XluDtmY83nT,WuHH,21,8,24,32,25.0,1.1297396464121656,157.0
683,IRON,IV,2Y4paVi1lrdAoPcB6MNR-54gNl87iN3nGXZiM_92JURystIX,aliewarth,28,20,40,60,33.33333333333333,1.683790258184722,35.0
684,IRON,IV,pv5rykmQkw0tY7Z4FFaYB1dOqk_U8oX2pga8rEULHLShqkUH,HyperSoulMarx,26,2,13,15,13.333333333333334,1.3396287403029183,24.0
685,IRON,IV,HscxpbxPskiAhV1Gok7mSZTGW9Uch3Zcxmi3HONWxlBFysBi,FEARPRINCE,75,71,66,137,51.82481751824818,2.2548986052879267,82.0
686,IRON,IV,Voi-SgOwP6KElRb1CRdXiTNsH_E_STH9-HYSHPeI0wE6y99q,Andr344,44,245,341,586,41.80887372013652,1.0706653934163348,81.0
687,IRON,IV,fFBolYOgckfq3_atmas_RLTVlzAk5Haelu7dsMaryEb87k-3,  BeatJoMomma,0,6,18,24,25.0,2.3196350073264953,84.0
688,IRON,IV,x23j_3rINmdRj0grwAa5_jR53fDk9i7bAkWtxH84c02AvvVa,OGMRGoodkat,57,31,48,79,39.24050632911392,1.293314574540149,21.0
689,IRON,IV,-XJd2X094QRiSsgupDMVTPRPN9RNrNrAD_pMIkSUlwxLp_g9,OgreButcher,100,23,25,48,47.91666666666667,1.1692054603837454,2.0
690,IRON,IV,-5owUXJowgi7kiwy_fm6gRsHbkOu2zvY1Bq4S4CwqdcfU0OK,osothebrand,81,41,42,83,49.39759036144578,2.5157796631957834,77.0
691,IRON,IV,ZFcZltJJq4R4CEKc2oJxJUcAe2XUnjKcxsdr2ELaks-GElhA,deathhead123,0,15,28,43,34.883720930232556,1.4108860280196895,80.0
692,IRON,IV,3Z2gkOM_NY74kbK9ZwUNCj4jUZCusrIEm6_Klg-kjX5QKNrL,DShrish,8,23,38,61,37.704918032786885,1.3440854991498663,110.0
693,IRON,IV,Ds89v7fFO3x0-4aR6gz-Jp2LgUizXNY2q6h7LB5ogM2AszTn,Kekonac,2,4,15,19,21.052631578947366,1.1885802987078369,420.0
694,IRON,IV,eW-pncCRaLFrrasSQUcO02CC26lcxNoEAKgxStbXb-HNMICZ,B100dthirst3r,0,7,16,23,30.434782608695656,1.4249630028252387,11.0
695,IRON,IV,MGVIvRgQHDoS47QHxcGLmjflkLkU-5CWDX6taeDzRownotjf,LeelooMultipass,49,63,90,153,41.17647058823529,1.5897825980271876,17.0
696,IRON,IV,SVYkzxW4HDr-vH0Kgx3YJnXVNXLhsycnVaBqoV_mJYdpdCKk,Awesomegamer10,0,16,24,40,40.0,1.218207458060053,99.0
697,IRON,IV,zEFeQ4GeDfrhFdoFa4MnRcOMeIW1HOkX94YIZQhu5kDRMUOw,Healing420oracle,57,35,51,86,40.69767441860465,69.34875749785776,16.0
698,IRON,IV,vO7cttYI50JbmMEw22A-Tz-CJpQRc_tHlmuOaSajcodA93kh,ITripid,100,7,13,20,35.0,1.023766930743675,5.0
699,IRON,IV,FNJhd0f7R-jTBHBLF57ZPaGidtdaEuhtyMqGkqGAqxpyUbZ4,FAZETOFU2025,56,12,19,31,38.70967741935484,2.974306011955059,157.0
700,IRON,IV,khF4v9Xf26PBqrpa9rHTP8KptgaJF3_SRsAJ2rLIudVBhMp-,your moms cooter,49,9,19,28,32.142857142857146,1.8043956043956044,555.0
701,IRON,IV,DSu1K06AD8yrqZnUpztxjsJVFCUyfRGHofkenjzqNsUP-cDJ,PROBRO23,20,5,15,20,25.0,1.1220919540229886,91.0
702,IRON,IV,utY-reEMXtXIWow9CJL03x4VCH6i4O10Ivazo-mTfLRg6E7I,DoodiePants69,64,1,9,10,10.0,14.363241964109642,81.0
703,IRON,IV,Uaf1erELRlVQzW6YJ5x32aNL4abIfixUXEZCUaiCNqzoe_23,MAK97,32,93,111,204,45.588235294117645,1.1040650529845029,24.0
704,IRON,IV,-SRA3BNETMiQIraqzJcRfHWA8XvVq83i6jUT92KERxhes5RR,Chupa mis dedeos,77,2,9,11,18.181818181818183,2.1316626099051215,99.0
705,IRON,IV,9WBdxzf73WCzT3Msqdh9_8hYu_L0vnHrW2m2Z2Aghc-84UmT,ArticBliitz,90,4,10,14,28.57142857142857,2.8053104711170302,20.0
706,IRON,IV,Qo4II2cmOXvCcxmtu0fh5QZRxkORAWaSG4Vsip1LyQssY_Nw,KAK4SH1HATAKE,100,12,16,28,42.857142857142854,1.2793857694022166,56.0
707,IRON,IV,kswQ3Juw88wF-XAKcKLZVH7Db9GiN94JBCuLcyWjEQNosPYg,MarkTheWeeb,50,10,19,29,34.48275862068966,2.1314192991945267,141.0
708,IRON,IV,JXZHyMnBev-xzE37SkAAkuwQJQ440wFaq9jlAEZ__hSpI7hF,SexyLittleGirl,20,1,14,15,6.666666666666667,1.9447669305189095,13.0
709,IRON,IV,iQuwtifC8cQm1AiQsJSnqaphKbswRpi-x2a2nCXjlYvZgUE6,MilkjuiceMan,23,9,17,26,34.61538461538461,1.084229069628568,103.0
710,IRON,IV,g8FSmHuyXqSWcliwRwjf5_GoveQYkjBw91ngO-7Eg0IsYEoH,BruceXu520,80,57,76,133,42.857142857142854,1.006465874550981,145.0
711,IRON,IV,rEzXvnXM0tHNm3noso3uatugI6nzQCm_I4M3YApE_qTG1veu,LRIG Tama,0,0,11,11,0.0,2.164278506559031,105.0
712,IRON,IV,7oQOwcFn_zrKS31vZoV6R11LFrWLvgKlYe3qJuKuzqWKOfAP,Orgsoulsucker,64,1,9,10,10.0,1.9090746268656715,86.0
713,IRON,IV,CZ9axKgcl4nHcqwTnyNtgD-weCo1Ia4TP_DGmKlI6UDzLyjt,ultrachampion02,57,10,16,26,38.46153846153847,1.465826475609522,523.0
714,IRON,IV,JVQBbK5aYb7maNiECq_EMnr7sMDn-7WzIM3p_shxROj_0Ltg,Micheal68,0,30,45,75,40.0,1.7941800753166723,11.0
715,IRON,IV,p5nmXO8HMiq6ko3Dy2ozbKRlrqULwTh43OzRIxSxslirtOQE,Pamonso,55,12,48,60,20.0,4.120807665982204,82.0
716,IRON,IV,fOCoHI9GMwzoB2PDrs18etXcFW6q0Y4oBVk5flRpkk-urlZI,funnyKID8217,53,22,29,51,43.13725490196079,2.1096901826403363,11.0
717,IRON,IV,2SLte61HStvp2KmHtrj7QLIq0W8jPlW007BKGUmKrdkPQ_o-,BuriedDeepNU,87,3,10,13,23.076923076923077,1.9254427888670227,22.0
718,IRON,IV,02V84_kAr7Cvh2yhwxmjyDFiK6dGmN_UoGB1lQouULHZD78M,ShrewdGC,48,16,21,37,43.24324324324324,1.1197387184323107,28.0
719,IRON,IV,c7HMkcm1zNPynNTWIM5l17CUT-O0MYa2SJzLw-7467UwfZOG,KentaBlade,26,3,18,21,14.285714285714285,5.01240282994148,11.0
720,IRON,IV,jkV-aFpe3uDzFHPElT6HsmReaq47YknZ8efItHP0JnE9zRsP,Birdsaretoxic2,43,26,74,100,26.0,2.182084643980555,202.0
721,IRON,IV,EReQhqawCp8jQySZeemEjcoS-xWLY_b_Tz40HpUWga1IMPAr,dudezz,11,60,81,141,42.5531914893617,7.682743239475885,11.0
722,IRON,IV,w-WZaAyOYxy2HpLX2bZdL7IMrXWzsPncwbpGtIwWhoywnRTw,Swordwolf9,64,50,61,111,45.04504504504504,1.0701740087208118,16.0
723,IRON,IV,vvkkwbfqFPcHodirfox3VrqTHenp_gwBtM3EE_Rie8CzAdf_,Samura1Jack,52,36,37,73,49.31506849315068,2.7966836734693876,203.0
724,IRON,IV,ziC2H7snz0Ij_-Xl2kr86muiQExAk6YcGme__L7bKOTR7_sz,TurboKay,16,31,50,81,38.2716049382716,1.4196082247772108,245.0
725,IRON,IV,e2oHagwsQ2Zqvo2lw3mo6qoiOim04do8TZGajC8vPigDeW3p,PutinCatCar,39,36,44,80,45.0,2.7695273428264864,91.0
726,IRON,IV,HqpC4uZxvVuKO1HvJnQaGFtkqt5nFjrqhJpb4VFd4rF1K58C,TBNRoverkill,75,49,70,119,41.17647058823529,2.247292199099428,11.0
727,IRON,IV,ld-klgOLIv1N8xDUY_lLMKaEJTgknG6Mp1bAFrigDpFWOhQt,cezarcute,50,44,52,96,45.83333333333333,1.1729707012487993,518.0
728,IRON,IV,FrLZe55PKJCimdFjpFDpKFBoV0MV4HCZpcUS43RMLsP_Ywcr,Echosand13,83,16,31,47,34.04255319148936,1.1429893348202105,77.0
