,Unnamed: 0,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,totalGames,winRate,masteryRatio,mostPlayedID,key,name
284,2214,SILVER,III,Z1SLZFhF4bKCQypFWyuhi_hWvctgu1i1PTqCEIWUqnwcXDeP,KSRocky55,72,226,231,457,49.45295404814004,5.0957832406244385,517.0,517.0,Sylas
285,2402,SILVER,IV,TsfyI5URlf6UNl20Qsz5xLsBhokQOYL-ynWRiPskUNfbuqUK,BladeSun21,100,30,31,61,49.18032786885246,5.67119058120992,517.0,517.0,Sylas
286,2236,SILVER,III,OsUwF8K8sHk4g2pmHDPAINU81fRAXKau1F49yaHnVlhvF5dR,AyeItsLegend,0,71,65,136,52.20588235294118,10.746066337445269,102.0,102.0,Shyvana
287,4165,DIAMOND,I,B_iJqy5kQqa217tpC8l_jYQEFaS5zdRD2zKStmO1Lgxrm7iQ,Idare,41,99,85,184,53.80434782608695,34.634011793798734,102.0,102.0,Shyvana
288,2270,SILVER,IV,vULq9BnRsFcjGoCjpQrpVZMA36IUEg_68kM11lksrUof4DDL,K1llerTaco666,87,61,67,128,47.65625,6.2168774181372095,53.0,53.0,Blitzcrank
289,4277,DIAMOND,II,gPRFJU6f3g6x9JnnDIVY8JqUYYA7zOxqZ5pcKQCmZHNe462q,Vishaila,67,16,9,25,64.0,9.909968068860195,53.0,53.0,Blitzcrank
290,2495,GOLD,I,rRpAc_y7jXx54gAT7TpX3gsNBfEEKdoH9acaVXQjAnzvAW-T,Rip knightofions,77,109,111,220,49.54545454545455,9.068707875986906,121.0,121.0,Kha'Zix
291,2663,GOLD,I,TnAW4fR8rQIM9oKt6ls-d3i8LL4-PpDMOPF1sbGfczG59eYd,LoseLaneBlameJg,55,15,22,37,40.54054054054054,7.424303916941954,121.0,121.0,Kha'Zix
292,3428,PLATINUM,I,wXxkTlgR8Am4x1TFKxfvWEq900-elQ6rQC8BdG1f_LvU7pY7,Damir 1,100,21,17,38,55.26315789473685,9.47602785589929,121.0,121.0,Kha'Zix
293,4115,DIAMOND,I,jJmu8RZjChOe1U44Nb9jQ4KZUFN9LosR9vfXhN3nmV5iNV8d,Damir 3,75,62,46,108,57.407407407407405,9.372634499157831,121.0,121.0,Kha'Zix
294,4272,DIAMOND,II,gdjHtrAUq_ZqI6Vw7qs9T36fAJXR14IdLLAtiau6kO0tHFK2,Damir,2,31,32,63,49.2063492063492,8.580689010662251,121.0,121.0,Kha'Zix
295,2607,GOLD,I,zDZKJamMCpolLVKyxpFpmnKdgpW0rgm4LA6WiFXFvfRWmHPl,CritsOP,28,34,34,68,50.0,8.988549854552208,23.0,23.0,Tryndamere
296,2926,GOLD,III,GH9Egl_NXOrTJfmZSNzq5Gqv_DsFbARubnrB2N3QexjY9tzJ,PickleNU,45,61,51,112,54.46428571428571,6.6727767815633925,23.0,23.0,Tryndamere
297,2942,GOLD,III,0QrgybJleDZaPDrzjU-U_7mirRDaJl7JWyip6PccgZzp1Lpq,WillyChampagne,94,136,140,276,49.275362318840585,91.53330150393887,23.0,23.0,Tryndamere
298,3553,PLATINUM,II,jjTu_bPKJE6_MBfPVYBEs0utmR8ZbFf-AboRov9Rr58oq43h,Dont Fart Here,6,8,5,13,61.53846153846154,19.164039408866998,23.0,23.0,Tryndamere
299,4040,PLATINUM,IV,mvnAzKy_f9HpQAcSW0zVZKYgDpmyH17vXsr3LRk_SMG41sAD,WaifuTrynd,0,73,74,147,49.65986394557823,15.500931646562714,23.0,23.0,Tryndamere
300,4170,DIAMOND,I,VHmZf6nf7o8O12YvW3BC5MXkcC6deupzYRANlVj8RqIydYBM,Todamax,79,27,25,52,51.92307692307693,7.742251473176704,23.0,23.0,Tryndamere
301,2610,GOLD,I,yHXDW0LimrF5q4cHEcZHzQfM7Bhzi9FREmt54eIBJhMuLhoe,G2Hipster,9,45,30,75,60.0,8.286609819725111,64.0,64.0,Lee Sin
302,2683,GOLD,II,ZbZJxV-6DeZEQB8W0sNUA-EITxPI1DVqGS717Aonlbyj3Su9,Popsicle10,0,126,133,259,48.64864864864865,9.067046725670664,64.0,64.0,Lee Sin
303,4045,PLATINUM,IV,1sya0VErEbRwGhv2JFANumWoXXTytBpIwdBmYjXrBAU0Y5KP,Mooniky,100,98,108,206,47.57281553398058,5.659097897301262,64.0,64.0,Lee Sin
304,2614,GOLD,I,C9kS_UKJSiT18_nGOb3eJAKxge3Kxiddd2EAT6ZY1jGQ5ztT,KnarfLoL,52,33,21,54,61.111111111111114,11.79939770740237,163.0,163.0,Taliyah
305,2619,GOLD,I,bfplo93VSe0G1V5iydJcYR33myloEx9g65auhywjEk1wgrLR,The Demoen King,100,105,78,183,57.377049180327866,6.572284105880944,4.0,4.0,Twisted Fate
306,3787,PLATINUM,III,GvFuQafCRhAa_3wEO65mTRpzTA_hgaVsHEG79gtZ56FrdXuX,sgustball,17,103,104,207,49.75845410628019,8.248980339276498,4.0,4.0,Twisted Fate
307,2654,GOLD,I,grzht_ecbozSrqmAt1FPGzgbxrnVOaArI519feT-REaFlAZr,FückKha6Abusers,100,8,10,18,44.44444444444444,10.913191319131913,13.0,13.0,Ryze
308,2666,GOLD,II,kVbIi4i61PkA41Nxjs6v_JHSRn6sFe07SsipuwjycoTwq1ei,Promise It Worth,64,40,24,64,62.5,6.2219735249476456,268.0,268.0,Azir
309,3906,PLATINUM,IV,fbtVXrPZt1kdjH86c1P3NHOfjGILjt3NSLuQC3909ElFqISr,ladicme,18,86,65,151,56.95364238410596,14.657651912978244,268.0,268.0,Azir
310,2692,GOLD,II,vVKpnQ6Odsbvc5p2vHm88WZewFQQWbyIiut0F93DZHSqIFtt,Conan da King 2,62,35,31,66,53.03030303030303,16.761092947220927,154.0,154.0,Zac
311,2694,GOLD,II,9u-jbalsuaZL2lqIHCltRJWigd4W1arREW0JDmqI8hZewfpw,Kamorix,40,26,26,52,50.0,8.338464868374771,90.0,90.0,Malzahar
312,2965,GOLD,III,PpjXsnQOiNliXjpYMCzSTbOq--Q49EjjSGpCkvj8dSE26nQ4,Tommy Tamale,18,47,46,93,50.53763440860215,6.682104413347687,90.0,90.0,Malzahar
313,2764,GOLD,II,WMPBNqzul-cXzAqBFMCaXtl311LK53U2_haC6MUrC8t_Rxxt,Sharpest Blade,11,38,36,74,51.35135135135135,7.497574147658669,39.0,39.0,Irelia
314,2806,GOLD,II,1rz7I6urQ70Cf4gE-q9v7Ue8SGdfEYWqrvTzuko-KbGvLPcg,Chushie,71,54,35,89,60.67415730337079,6.895917530603879,29.0,29.0,Twitch
315,3376,PLATINUM,I,r-WsgO33zT7DCVvH19Oe1FL0-2sGszOCPyUVD2BnMQgPzEF_,DIE HATE LUST,83,24,40,64,37.5,10.11046612372206,29.0,29.0,Twitch
316,3447,PLATINUM,I,KntsZuez3Iu4jmUDgSyWuW_XuO3NMI48jdj8jj_-Tw890BFq,TURBOSCOOTER,100,58,42,100,57.99999999999999,8.166819852941176,29.0,29.0,Twitch
317,4465,DIAMOND,IV,TJ8SC0c61k2DXJbWnm7BS8csYknIb-iN8e2DZJsKrnR3hsUw,NaCl Rank 2,12,13,18,31,41.935483870967744,5.364899094025754,29.0,29.0,Twitch
318,2821,GOLD,II,fHS7pDLbTZdovwhy4tx_LtEsJryaCkia89eKCp4mrm5v3Wc6,Lunar Explosion,75,57,54,111,51.35135135135135,9.855818547927509,131.0,131.0,Diana
319,2941,GOLD,III,KhcWV4stmW4pWj5RRKAsCl0426jo8pootwSdCoZQGvzPUu2C,Nameless809,0,54,44,98,55.10204081632652,11.360032526936367,41.0,41.0,Gangplank
320,3434,PLATINUM,I,wKtcE9QfnmDKW5jLc6Sjz9KVPuz-chhFOlM9Ee18fWXvbg9R,Nihil Leviathan,0,86,56,142,60.56338028169014,6.689220695471006,41.0,41.0,Gangplank
321,4144,DIAMOND,I,Y1pgmLaR2Q6lYQmHKoRgZAUgEBNZB3hsEMhJoiGlFJnDbbu0,SikoraM,90,26,19,45,57.77777777777777,16.29694064152622,41.0,41.0,Gangplank
322,4275,DIAMOND,II,Rq6icaiCmRumTLQxW3IUuZgYJnLbs65S0OpZv5WvfnL2h0vb,Scurvy Sailor,16,195,201,396,49.24242424242424,62.295772470824645,41.0,41.0,Gangplank
323,3097,GOLD,IV,C5JW8Yq-Dd70OrcIjeT60YBpppRPMaQ4UaOu7aKF_Vf5NcHP,600deadlift,6,43,41,84,51.19047619047619,5.186159933744364,79.0,79.0,Gragas
324,3799,PLATINUM,III,UNNsZQFDYdrp47M9vjGZY0eq6F2KrLFBcjgNP6lXUGhIuSFD,Ravihel,48,56,59,115,48.69565217391305,80.13069306930694,79.0,79.0,Gragas
325,3113,GOLD,IV,La-YLuct2nF8G5ga1MIKp5H7XvrLvjHq5arboWbdyH3XqzrP,Newzhongdan v3,0,66,54,120,55.00000000000001,18.961524367900328,238.0,238.0,Zed
326,3402,PLATINUM,I,qT5IqJ7yrAPiiX1ALNG5r2FuC6h99kzpTKQeTfsNtklHkaSM,Dark Paladin,4,4,6,10,40.0,6.6476516376490045,238.0,238.0,Zed
327,3728,PLATINUM,III,Jf9ylhmSVtVSfWe30KP5XMD6AC6F2rKIgo0B6I2N9TuLe-mS,Véntin,39,78,53,131,59.541984732824424,12.122709280164196,238.0,238.0,Zed
328,3844,PLATINUM,III,w1w60Izkuwe5pJTp7m1-GKuY7MfTSJM5U-tPxCHqWndnJ9T8,EnZer0Nymous,90,10,11,21,47.61904761904761,6.545698785843451,238.0,238.0,Zed
329,4248,DIAMOND,II,VUMrW-8dmSLYk5lUTIb-5utN3W1RXJuLHJ5lshpbQGtZXGm3,B Z Z K,0,77,65,142,54.22535211267606,18.464204545454546,238.0,238.0,Zed
330,4331,DIAMOND,III,2fM0zICPuN23_lz3fPFDqTLXRTGCXWrlg9G2I1k9Js58mZ1h,HowManyCanWeGet,38,211,198,409,51.58924205378973,8.889726868915982,238.0,238.0,Zed
331,4379,DIAMOND,III,WHsCxyDd3u-AOuYgEjcLqxs_q_sBXHT5ABtgPJIbpSvAu1VZ,Xeran,75,10,5,15,66.66666666666666,7.144410672070245,238.0,238.0,Zed
332,3240,GOLD,IV,-NVWjrMaiQIbaa8No3ebaVFQRuAsYlN0QAbkEPEUmRVkBa0W,NoThingzBlitz,0,51,43,94,54.25531914893617,35.15979603120968,31.0,31.0,Cho'Gath
333,3250,GOLD,IV,servOjXGbC7nM5a5jGl0b8hgWszHzbyEHP9b3xncmIFPWj0b,GrAvées,20,151,164,315,47.93650793650794,13.535475024485798,104.0,104.0,Graves
334,3271,GOLD,IV,LA7Xj0XuDLVysx9r04QLQdhysVIHPrDstIijEGzOMoymCk5D,Shairo,25,152,132,284,53.52112676056338,5.8137188191083,497.0,497.0,Rakan
335,3370,PLATINUM,I,XGmzI4c81F09qksullllj-4-XvWlm1-pXh8se-QPTq0z90L7,No JG 4 Kindred,29,102,120,222,45.94594594594595,20.097099840421837,203.0,203.0,Kindred
336,4135,DIAMOND,I,21rRrIEcSXNJhI_ildkx1xpF5Fq5uHsQiF68TSuoPbtpCavz,You Overstep,37,100,106,206,48.54368932038835,44.67600373482726,203.0,203.0,Kindred
337,3382,PLATINUM,I,ywbb2s6U1GujSnTaqw4o-ig18n4fF39H4gUOxflEaS3uqk5L,Dorans Blaze it,100,39,29,68,57.35294117647059,10.600016916180326,74.0,74.0,Heimerdinger
338,3403,PLATINUM,I,FDxz5CVURbgbQG-PPLG4v_a4hWpKwka1t8IlUGkaFS1y49xu,PROJeffectS97,100,13,13,26,50.0,9.788349514563107,240.0,240.0,Kled
339,4436,DIAMOND,IV,p-N7hnv4yOkc46QPJ8XlNbG4Z2Osjw2CgjUTVybUU1-Ea1N8,Rystol,3,11,8,19,57.89473684210527,25.484652024345063,240.0,240.0,Kled
340,3409,PLATINUM,I,VrmQKdYToGgFI882Lk8e_Z4VKax3vIXuOKDYiJ9e7cs6FIj_,Andr0meda5,100,69,43,112,61.60714285714286,9.276913599260745,78.0,78.0,Poppy
341,3454,PLATINUM,I,e4YmGJG3RxXZaOxIikrgPOY-DeiTy96IHBc3DRrTkJ48g4LU,ª ˉ,50,9,18,27,33.33333333333333,12.100071225071225,30.0,30.0,Karthus
342,3456,PLATINUM,I,CDaXXDlp3Zwpq-JmAJmAI2avPhqgY5R9QRxqE6XhiQjO-69T,DrPrince,12,129,127,256,50.390625,6.247008401130265,2.0,2.0,Olaf
343,3466,PLATINUM,I,6Tr_xzlHE2pQEK2rn6qJ9KgZ9st6XRA1m96-G5Z6htehjAy1,bokkser,64,64,58,122,52.459016393442624,17.30055441040586,267.0,267.0,Nami
344,3542,PLATINUM,II,ZLx3rRgcaSXfv5-BrJX1nXl7Te1x89yrKpEzWuPljSOa_hkt,AdoreXo,0,37,36,73,50.68493150684932,7.153116908982273,267.0,267.0,Nami
345,3470,PLATINUM,I,hBQrxYKQuSMTIZGrp8MFErrZ-b7qnHgpvGl4tnWR2acM6Cp7,Nunu and Deez ,100,30,26,56,53.57142857142857,16.688310308182785,20.0,20.0,Nunu & Willump
346,3767,PLATINUM,III,uCmQZ-doAMY7-yvKGGbYKvI4CetgfufUL2OdSmDaD-uWq4FU,The EarRæper,0,23,22,45,51.11111111111111,9.041979166666666,20.0,20.0,Nunu & Willump
347,4357,DIAMOND,III,Hgokn3HyufnJzI3Mm6ubrLmJ4ttyl4aYYwECAxyajdLgttsF,Wixzy,44,65,84,149,43.624161073825505,11.732788461538462,20.0,20.0,Nunu & Willump
