,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId,tier
3042,79,3,9593,1572903518000,3593,3007,False,0,z4gG4tGme3Wp-rV4b_9zB84duwNrHWKBX6v9LtgyQIJyYylG,BRONZE
3043,76,3,8755,1571680825000,2755,3845,False,0,z4gG4tGme3Wp-rV4b_9zB84duwNrHWKBX6v9LtgyQIJyYylG,BRONZE
3044,91,3,8570,1563660863000,2570,4030,False,0,z4gG4tGme3Wp-rV4b_9zB84duwNrHWKBX6v9LtgyQIJyYylG,BRONZE
3045,235,7,43217,1583935557000,21617,0,True,0,QWG6CmaET4e7CZMCyBDnXkVFdPbW9USW2jchNUZKCC35vmOb,BRONZE
3046,498,7,41573,1582832981000,19973,0,True,0,QWG6CmaET4e7CZMCyBDnXkVFdPbW9USW2jchNUZKCC35vmOb,BRONZE
3047,22,6,38634,1582060657000,17034,0,False,2,QWG6CmaET4e7CZMCyBDnXkVFdPbW9USW2jchNUZKCC35vmOb,BRONZE
3048,6,7,453223,1583996511000,431623,0,True,0,mQw8jSO7017HOByMGLzPtlE8v1wBVyqeacnnf5USz3XEtJOp,BRONZE
3049,58,5,60924,1579486523000,39324,0,True,1,mQw8jSO7017HOByMGLzPtlE8v1wBVyqeacnnf5USz3XEtJOp,BRONZE
3050,145,5,54107,1583990413000,32507,0,False,1,mQw8jSO7017HOByMGLzPtlE8v1wBVyqeacnnf5USz3XEtJOp,BRONZE
3051,50,5,23292,1582781630000,1692,0,True,0,1hDpDHGD3526HPYe6LS8s0augGKpNoPW52ECLOyEh3A0l4cQ,BRONZE
3052,99,4,21332,1582497659000,8732,268,False,0,1hDpDHGD3526HPYe6LS8s0augGKpNoPW52ECLOyEh3A0l4cQ,BRONZE
3053,81,4,20807,1582495037000,8207,793,False,0,1hDpDHGD3526HPYe6LS8s0augGKpNoPW52ECLOyEh3A0l4cQ,BRONZE
3054,99,7,861594,1583974221000,839994,0,True,0,Le44iNB_9-fRShStc0P-NuUW5Kw-5IEi-rSKutF3F63XlL4t,BRONZE
3055,37,7,184075,1582764741000,162475,0,False,0,Le44iNB_9-fRShStc0P-NuUW5Kw-5IEi-rSKutF3F63XlL4t,BRONZE
3056,25,7,101540,1583962421000,79940,0,True,0,Le44iNB_9-fRShStc0P-NuUW5Kw-5IEi-rSKutF3F63XlL4t,BRONZE
3057,64,6,26686,1584001889000,5086,0,True,0,YC18hiqAioQOIOnjnqBNgO59vzMyMs1C5XUnaQ2jCVWDoxhr,BRONZE
3058,24,4,21492,1581403702000,8892,108,False,0,YC18hiqAioQOIOnjnqBNgO59vzMyMs1C5XUnaQ2jCVWDoxhr,BRONZE
3059,145,4,20644,1582409477000,8044,956,False,0,YC18hiqAioQOIOnjnqBNgO59vzMyMs1C5XUnaQ2jCVWDoxhr,BRONZE
3060,28,7,117267,1584047221000,95667,0,True,0,amO8yttyrRILv_wcLrfWf8fkJmlLDDVzobKczPhGrpJUEaiL,BRONZE
3061,498,7,83506,1583128182000,61906,0,True,0,amO8yttyrRILv_wcLrfWf8fkJmlLDDVzobKczPhGrpJUEaiL,BRONZE
3062,15,5,70807,1579300996000,49207,0,False,1,amO8yttyrRILv_wcLrfWf8fkJmlLDDVzobKczPhGrpJUEaiL,BRONZE
3063,55,7,117876,1583729851000,96276,0,True,0,AW4zqnBxnuICnvdp5LHBJyr7JcpvHPNcXnvdi7LwhBeUM1M-,BRONZE
3064,157,6,54252,1583731885000,32652,0,False,2,AW4zqnBxnuICnvdp5LHBJyr7JcpvHPNcXnvdi7LwhBeUM1M-,BRONZE
3065,238,6,47940,1583649250000,26340,0,True,0,AW4zqnBxnuICnvdp5LHBJyr7JcpvHPNcXnvdi7LwhBeUM1M-,BRONZE
3066,99,7,113733,1583872903000,92133,0,True,0,e9eDTYHMNRQPnEvZ-6-Hts8mBLinVIAHyNT91vmOpGxSJ0ml,BRONZE
3067,131,5,60403,1581872941000,38803,0,False,1,e9eDTYHMNRQPnEvZ-6-Hts8mBLinVIAHyNT91vmOpGxSJ0ml,BRONZE
3068,145,6,33914,1582598629000,12314,0,False,0,e9eDTYHMNRQPnEvZ-6-Hts8mBLinVIAHyNT91vmOpGxSJ0ml,BRONZE
3069,17,5,63402,1580878503000,41802,0,True,1,35B2o1o_PYmxciZW5rY-D4fLnR8xAdIvuyCFOuW7EppbUriA,BRONZE
3070,21,4,17478,1545383694000,4878,4122,False,0,35B2o1o_PYmxciZW5rY-D4fLnR8xAdIvuyCFOuW7EppbUriA,BRONZE
